Control Name,English,Romanian,,
lblOppression,Oppression,Represiune,,
lblLifeUnder,Life Under Communism,Viața în comunism ,,
lblCommunistTimeline,Communist Timeline,Evoluția regimului comunist,,
lblStories,Stories from Communism,Povești din comunism,,
btnCredits,Credits,Resurse,,
lblThenAndNow,Then and Now,Atunci și acum ,,
btnLanguage,English,Română,"This is set as it should be, so that when in english the button reads ""English"" and when in Romanian it reads ""Română""",
lblWorkAnsPolLong,"One thing was certain with communism, you were guaranteed a job but “who knows where in the country? [For example] Let’s presume you finished medicine. You became a young doctor, but who knows where in a little village in Romania."" - Museum Manager
Jobs were limited: army, engineer, doctor, professor, factory worker, or, if skilled, a sportsman. Family pressure pushed for jobs like lawyer, doctor, or pilot. Assignments were often far from home, in villages in the middle of nowhere, with no choice of the destination.","""Cine ştie unde în ţară te repartizau, dar tu aveai slujba. Să presupunem că ai terminat medicina. Ai devenit un doctor tânăr, dar cine știe unde într-un mic sat din România."" - Manager Muzeu
Accesul la locurile de muncă a fost limitat: militar, inginer, doctor, profesor, lucrător în fabrică sau, dacă este calificat, sportiv. Presiunea familiei era  pentru locuri de muncă precum avocat, medic sau pilot. Repartizările erau adesea departe de casă, în sate în mijlocul pustietății, fără posibilitatea de a alege destinația.",,
lblWorkAns,"One thing was certain with communism, you were guaranteed a job but “who knows where in the country? [For example] Let’s presume you finished medicine. You became a young doctor, but who knows where in a little village in Romania."" - Museum Manager","""Cine ştie unde în ţară te repartizau, dar tu ai avut slujba. Să presupunem că ai terminat medicina. Ai devenit un doctor tânăr, dar cine știe unde într-un mic sat din România."" - Manager Muzeu",,
lblWorkQ,What jobs were available?,Ce tipuri de locuri de muncă erau pe piață?,,
